,Unnamed: 0,File,Area,Density1,Density2
0,0,./20240321_140300_322/Plate002_Well2_Object5.tif_projection.tif,3914614,261,271
1,1,./20240321_140300_322/Plate005_Well1_Object8.tif_projection.tif,5647479,812,848
2,2,./20240321_140300_322/Plate003_Well2_Object2.tif_projection.tif,4891222,914,969
3,3,./20240321_140300_322/Plate008_Well2_Object4.tif_projection.tif,3765197,206,223
4,4,./20240321_140300_322/Plate003_Well1_Object4.tif_projection.tif,4961909,80,92
5,5,./20240321_140300_322/Plate007_Well1_Object2.tif_projection.tif,4436194,267,288
6,6,./20240321_140300_322/Plate003_Well2_Object6.tif_projection.tif,5391246,926,965
7,7,./20240321_140300_322/Plate002_Well4_Object1.tif_projection.tif,5303687,395,409
8,8,./20240321_140300_322/Plate003_Well4_Object4.tif_projection.tif,3992907,814,896
9,9,./20240321_140300_322/Plate001_Well1_Object1.tif_projection.tif,6333350,1448,1565
10,10,./20240321_140300_322/Plate004_Well3_Object2.tif_projection.tif,6589266,1315,1380
11,11,./20240321_140300_322/Plate003_Well3_Object5.tif_projection.tif,5031627,1820,1952
12,12,./20240321_140300_322/Plate001_Well3_Object7.tif_projection.tif,4483967,1050,1141
13,13,./20240321_140300_322/Plate001_Well4_Object7.tif_projection.tif,4431993,579,599
14,14,./20240321_140300_322/Plate005_Well1_Object3.tif_projection.tif,4344852,240,244
15,15,./20240321_140300_322/Plate003_Well4_Object8.tif_projection.tif,5039476,1217,1307
16,16,./20240321_140300_322/Plate008_Well1_Object0.tif_projection.tif,3709755,130,138
17,17,./20240321_140300_322/Plate004_Well4_Object7.tif_projection.tif,5632969,1176,1216
18,18,./20240321_140300_322/Plate004_Well4_Object2.tif_projection.tif,6013375,752,792
19,19,./20240321_140300_322/Plate007_Well4_Object5.tif_projection.tif,3451553,137,139
20,20,./20240321_140300_322/Plate001_Well4_Object4.tif_projection.tif,3269797,545,565
21,21,./20240321_140300_322/Plate008_Well2_Object6.tif_projection.tif,3629351,216,223
22,22,./20240321_140300_322/Plate005_Well4_Object6.tif_projection.tif,4443325,261,276
23,23,./20240321_140300_322/Plate006_Well4_Object4.tif_projection.tif,3894762,182,197
24,24,./20240321_140300_322/Plate003_Well2_Object3.tif_projection.tif,4331892,313,323
25,25,./20240321_140300_322/Plate001_Well2_Object3.tif_projection.tif,4231499,903,952
26,26,./20240321_140300_322/Plate003_Well3_Object1.tif_projection.tif,8042535,2002,2157
27,27,./20240321_140300_322/Plate007_Well3_Object3.tif_projection.tif,4004288,187,195
28,28,./20240321_140300_322/Plate002_Well4_Object10.tif_projection.tif,3416181,207,214
29,29,./20240321_140300_322/Plate007_Well2_Object1.tif_projection.tif,4078730,259,274
30,30,./20240321_140300_322/Plate000_Well3_Object4.tif_projection.tif,5807203,875,912
31,31,./20240321_140300_322/Plate001_Well1_Object4.tif_projection.tif,4022762,1052,1127
32,32,./20240321_140300_322/Plate006_Well3_Object0.tif_projection.tif,4725636,645,678
33,33,./20240321_140300_322/Plate004_Well1_Object6.tif_projection.tif,4714857,880,946
34,34,./20240321_140300_322/Plate008_Well2_Object8.tif_projection.tif,2960477,113,121
35,35,./20240321_140300_322/Plate008_Well1_Object1.tif_projection.tif,3317060,124,129
36,36,./20240321_140300_322/Plate005_Well3_Object5.tif_projection.tif,6214605,336,356
37,37,./20240321_140300_322/Plate008_Well1_Object3.tif_projection.tif,3886157,148,154
38,38,./20240321_140300_322/Plate005_Well3_Object10.tif_projection.tif,5183219,262,272
39,39,./20240321_140300_322/Plate000_Well1_Object0.tif_projection.tif,4040263,362,380
40,40,./20240321_140300_322/Plate000_Well2_Object6.tif_projection.tif,4728239,76,80
41,41,./20240321_140300_322/Plate005_Well3_Object6.tif_projection.tif,6783917,407,436
42,42,./20240321_140300_322/Plate001_Well3_Object0.tif_projection.tif,4830566,1088,1151
43,43,./20240321_140300_322/Plate002_Well4_Object5.tif_projection.tif,3228158,139,149
44,44,./20240321_140300_322/Plate007_Well4_Object6.tif_projection.tif,4348177,258,264
45,45,./20240321_140300_322/Plate003_Well2_Object4.tif_projection.tif,4695396,784,819
46,46,./20240321_140300_322/Plate006_Well4_Object6.tif_projection.tif,3263029,229,241
47,47,./20240321_140300_322/Plate000_Well1_Object4.tif_projection.tif,4215295,392,405
48,48,./20240321_140300_322/Plate005_Well2_Object9.tif_projection.tif,6611706,402,421
49,49,./20240321_140300_322/Plate002_Well3_Object8.tif_projection.tif,3992510,211,220
50,50,./20240321_140300_322/Plate003_Well3_Object7.tif_projection.tif,6682213,1788,1936
51,51,./20240321_140300_322/Plate002_Well2_Object4.tif_projection.tif,3445564,270,279
52,52,./20240321_140300_322/Plate000_Well3_Object3.tif_projection.tif,3661790,276,285
53,53,./20240321_140300_322/Plate000_Well3_Object1.tif_projection.tif,5153509,1003,1036
54,54,./20240321_140300_322/Plate003_Well3_Object0.tif_projection.tif,5602197,1384,1515
55,55,./20240321_140300_322/Plate004_Well2_Object3.tif_projection.tif,4667929,1016,1108
56,56,./20240321_140300_322/Plate005_Well1_Object4.tif_projection.tif,6174177,597,616
57,57,./20240321_140300_322/Plate005_Well3_Object2.tif_projection.tif,7023785,350,362
58,58,./20240321_140300_322/Plate002_Well2_Object7.tif_projection.tif,5082303,355,367
59,59,./20240321_140300_322/Plate005_Well4_Object4.tif_projection.tif,4164892,336,354
60,60,./20240321_140300_322/Plate001_Well3_Object2.tif_projection.tif,4845128,1112,1197
61,61,./20240321_140300_322/Plate002_Well3_Object9.tif_projection.tif,4504021,204,218
62,62,./20240321_140300_322/Plate003_Well1_Object1.tif_projection.tif,7489816,305,335
63,63,./20240321_140300_322/Plate006_Well4_Object3.tif_projection.tif,4586815,302,324
64,64,./20240321_140300_322/Plate005_Well1_Object2.tif_projection.tif,4879922,267,281
65,65,./20240321_140300_322/Plate006_Well3_Object2.tif_projection.tif,4983439,620,638
66,66,./20240321_140300_322/Plate006_Well4_Object7.tif_projection.tif,3806877,194,198
67,67,./20240321_140300_322/Plate004_Well3_Object8.tif_projection.tif,0,0,0
68,68,./20240321_140300_322/Plate000_Well3_Object2.tif_projection.tif,5564607,419,433
69,69,./20240321_140300_322/Plate002_Well2_Object8.tif_projection.tif,3807543,255,268
70,70,./20240321_140300_322/Plate006_Well3_Object3.tif_projection.tif,3404480,511,534
71,71,./20240321_140300_322/Plate005_Well2_Object4.tif_projection.tif,5014283,248,259
72,72,./20240321_140300_322/Plate006_Well4_Object1.tif_projection.tif,4979520,291,303
73,73,./20240321_140300_322/Plate005_Well2_Object2.tif_projection.tif,6340045,528,553
74,74,./20240321_140300_322/Plate004_Well2_Object2.tif_projection.tif,4977592,1022,1147
75,75,./20240321_140300_322/Plate004_Well3_Object4.tif_projection.tif,4066538,901,942
76,76,./20240321_140300_322/Plate000_Well2_Object5.tif_projection.tif,4540480,199,211
77,77,./20240321_140300_322/Plate002_Well1_Object3.tif_projection.tif,4211859,367,377
78,78,./20240321_140300_322/Plate000_Well2_Object4.tif_projection.tif,5780026,182,188
79,79,./20240321_140300_322/Plate001_Well4_Object3.tif_projection.tif,4019125,678,705
80,80,./20240321_140300_322/Plate007_Well1_Object0.tif_projection.tif,5388719,359,385
81,81,./20240321_140300_322/Plate000_Well2_Object0.tif_projection.tif,5491713,171,181
82,82,./20240321_140300_322/Plate003_Well2_Object1.tif_projection.tif,4779542,526,559
83,83,./20240321_140300_322/Plate001_Well3_Object3.tif_projection.tif,3628393,814,884
84,84,./20240321_140300_322/Plate007_Well3_Object5.tif_projection.tif,3889639,168,178
85,85,./20240321_140300_322/Plate002_Well2_Object1.tif_projection.tif,3725395,437,447
86,86,./20240321_140300_322/Plate006_Well1_Object7.tif_projection.tif,4201791,1200,1249
87,87,./20240321_140300_322/Plate002_Well1_Object0.tif_projection.tif,4030802,323,337
88,88,./20240321_140300_322/Plate007_Well1_Object1.tif_projection.tif,4196440,276,303
89,89,./20240321_140300_322/Plate002_Well4_Object8.tif_projection.tif,4168004,262,274
90,90,./20240321_140300_322/Plate005_Well4_Object7.tif_projection.tif,3164115,210,213
91,91,./20240321_140300_322/Plate007_Well2_Object6.tif_projection.tif,4766448,271,284
92,92,./20240321_140300_322/Plate006_Well4_Object5.tif_projection.tif,4068462,434,452
93,93,./20240321_140300_322/Plate003_Well1_Object2.tif_projection.tif,5006915,138,152
94,94,./20240321_140300_322/Plate003_Well4_Object1.tif_projection.tif,6653491,765,856
95,95,./20240321_140300_322/Plate000_Well1_Object7.tif_projection.tif,3326552,223,229
96,96,./20240321_140300_322/Plate006_Well1_Object4.tif_projection.tif,3959518,1222,1270
97,97,./20240321_140300_322/Plate007_Well4_Object0.tif_projection.tif,2423879,0,0
98,98,./20240321_140300_322/Plate001_Well1_Object2.tif_projection.tif,5522538,1472,1580
99,99,./20240321_140300_322/Plate002_Well4_Object0.tif_projection.tif,5151274,222,233
100,100,./20240321_140300_322/Plate004_Well4_Object4.tif_projection.tif,3989970,637,675
101,101,./20240321_140300_322/Plate000_Well4_Object1.tif_projection.tif,5319979,1565,1692
102,102,./20240321_140300_322/Plate008_Well2_Object3.tif_projection.tif,3062916,176,188
103,103,./20240321_140300_322/Plate006_Well1_Object1.tif_projection.tif,4413428,1252,1314
104,104,./20240321_140300_322/Plate004_Well1_Object3.tif_projection.tif,3708705,757,818
105,105,./20240321_140300_322/Plate004_Well2_Object4.tif_projection.tif,4178617,839,937
106,106,./20240321_140300_322/Plate001_Well3_Object6.tif_projection.tif,4832711,1056,1125
107,107,./20240321_140300_322/Plate008_Well2_Object7.tif_projection.tif,2940954,129,136
108,108,./20240321_140300_322/Plate002_Well2_Object3.tif_projection.tif,5280350,201,211
109,109,./20240321_140300_322/Plate001_Well4_Object5.tif_projection.tif,4278629,602,629
110,110,./20240321_140300_322/Plate000_Well3_Object6.tif_projection.tif,4619466,862,880
111,111,./20240321_140300_322/Plate007_Well4_Object4.tif_projection.tif,3338924,150,158
112,112,./20240321_140300_322/Plate004_Well1_Object7.tif_projection.tif,6027046,1216,1328
113,113,./20240321_140300_322/Plate006_Well3_Object4.tif_projection.tif,3551123,449,460
114,114,./20240321_140300_322/Plate007_Well4_Object1.tif_projection.tif,3080233,0,0
115,115,./20240321_140300_322/Plate001_Well3_Object1.tif_projection.tif,4311858,925,992
116,116,./20240321_140300_322/Plate007_Well1_Object8.tif_projection.tif,3914116,272,286
117,117,./20240321_140300_322/Plate003_Well4_Object6.tif_projection.tif,5205309,944,1026
118,118,./20240321_140300_322/Plate002_Well4_Object3.tif_projection.tif,4270948,234,246
119,119,./20240321_140300_322/Plate002_Well1_Object7.tif_projection.tif,3773515,363,376
120,120,./20240321_140300_322/Plate001_Well2_Object1.tif_projection.tif,5258435,1034,1103
121,121,./20240321_140300_322/Plate005_Well2_Object6.tif_projection.tif,5250164,348,365
122,122,./20240321_140300_322/Plate002_Well2_Object0.tif_projection.tif,3892841,232,241
123,123,./20240321_140300_322/Plate004_Well3_Object0.tif_projection.tif,5738229,1007,1040
124,124,./20240321_140300_322/Plate007_Well1_Object6.tif_projection.tif,4511571,287,310
125,125,./20240321_140300_322/Plate006_Well2_Object0.tif_projection.tif,5393410,969,1013
126,126,./20240321_140300_322/Plate007_Well4_Object7.tif_projection.tif,4112534,149,153
127,127,./20240321_140300_322/Plate006_Well1_Object3.tif_projection.tif,8516900,2459,2548
128,128,./20240321_140300_322/Plate003_Well3_Object4.tif_projection.tif,5250245,1459,1584
129,129,./20240321_140300_322/Plate006_Well4_Object0.tif_projection.tif,5553411,256,267
130,130,./20240321_140300_322/Plate004_Well4_Object8.tif_projection.tif,4551508,658,689
131,131,./20240321_140300_322/Plate005_Well3_Object8.tif_projection.tif,5676308,377,397
132,132,./20240321_140300_322/Plate001_Well2_Object4.tif_projection.tif,4457817,954,1001
133,133,./20240321_140300_322/Plate008_Well1_Object9.tif_projection.tif,2743318,138,144
134,134,./20240321_140300_322/Plate008_Well1_Object6.tif_projection.tif,2884482,139,147
135,135,./20240321_140300_322/Plate001_Well1_Object0.tif_projection.tif,5509573,1044,1139
136,136,./20240321_140300_322/Plate004_Well2_Object6.tif_projection.tif,4396923,1090,1189
137,137,./20240321_140300_322/Plate005_Well1_Object0.tif_projection.tif,6046489,305,313
138,138,./20240321_140300_322/Plate006_Well1_Object0.tif_projection.tif,5485895,1382,1438
139,139,./20240321_140300_322/Plate007_Well2_Object5.tif_projection.tif,4212531,159,168
140,140,./20240321_140300_322/Plate001_Well4_Object1.tif_projection.tif,4172893,651,673
141,141,./20240321_140300_322/Plate002_Well1_Object1.tif_projection.tif,4095063,293,306
142,142,./20240321_140300_322/Plate004_Well1_Object0.tif_projection.tif,5370637,658,729
143,143,./20240321_140300_322/Plate000_Well3_Object5.tif_projection.tif,3951362,398,407
144,144,./20240321_140300_322/Plate005_Well3_Object1.tif_projection.tif,5308210,258,274
145,145,./20240321_140300_322/Plate001_Well2_Object7.tif_projection.tif,4337309,889,952
146,146,./20240321_140300_322/Plate004_Well4_Object1.tif_projection.tif,4362050,355,372
147,147,./20240321_140300_322/Plate000_Well4_Object7.tif_projection.tif,6369536,1972,2103
148,148,./20240321_140300_322/Plate001_Well4_Object0.tif_projection.tif,4385921,833,866
149,149,./20240321_140300_322/Plate004_Well1_Object1.tif_projection.tif,6458081,812,909
150,150,./20240321_140300_322/Plate003_Well1_Object6.tif_projection.tif,5659708,313,332
151,151,./20240321_140300_322/Plate005_Well2_Object7.tif_projection.tif,3948720,197,212
152,152,./20240321_140300_322/Plate006_Well2_Object5.tif_projection.tif,3830441,882,912
153,153,./20240321_140300_322/Plate004_Well1_Object5.tif_projection.tif,4100448,815,893
154,154,./20240321_140300_322/Plate006_Well2_Object2.tif_projection.tif,4535916,947,996
155,155,./20240321_140300_322/Plate002_Well2_Object2.tif_projection.tif,4921397,341,357
156,156,./20240321_140300_322/Plate003_Well2_Object5.tif_projection.tif,6135774,790,819
157,157,./20240321_140300_322/Plate002_Well3_Object0.tif_projection.tif,6918359,514,527
158,158,./20240321_140300_322/Plate001_Well2_Object5.tif_projection.tif,4425110,970,1028
159,159,./20240321_140300_322/Plate007_Well2_Object0.tif_projection.tif,4636561,252,260
160,160,./20240321_140300_322/Plate002_Well4_Object4.tif_projection.tif,3567929,133,139
161,161,./20240321_140300_322/Plate004_Well3_Object7.tif_projection.tif,5011548,1247,1293
162,162,./20240321_140300_322/Plate005_Well2_Object3.tif_projection.tif,4496422,297,309
163,163,./20240321_140300_322/Plate007_Well1_Object7.tif_projection.tif,471959,0,0
164,164,./20240321_140300_322/Plate005_Well3_Object7.tif_projection.tif,4195016,362,377
165,165,./20240321_140300_322/Plate005_Well2_Object8.tif_projection.tif,4755153,242,258
166,166,./20240321_140300_322/Plate008_Well1_Object4.tif_projection.tif,3258132,138,145
167,167,./20240321_140300_322/Plate005_Well4_Object3.tif_projection.tif,4848344,383,412
168,168,./20240321_140300_322/Plate003_Well4_Object3.tif_projection.tif,5649719,1026,1151
169,169,./20240321_140300_322/Plate004_Well3_Object5.tif_projection.tif,4811017,990,1028
170,170,./20240321_140300_322/Plate000_Well1_Object3.tif_projection.tif,4080173,370,381
171,171,./20240321_140300_322/Plate007_Well4_Object2.tif_projection.tif,2606382,0,0
172,172,./20240321_140300_322/Plate000_Well4_Object4.tif_projection.tif,5132201,1588,1685
173,173,./20240321_140300_322/Plate001_Well1_Object5.tif_projection.tif,4169330,916,992
174,174,./20240321_140300_322/Plate007_Well4_Object3.tif_projection.tif,631048,0,0
175,175,./20240321_140300_322/Plate003_Well1_Object3.tif_projection.tif,5351525,167,179
176,176,./20240321_140300_322/Plate001_Well1_Object7.tif_projection.tif,5314915,1260,1375
177,177,./20240321_140300_322/Plate000_Well4_Object6.tif_projection.tif,5207912,2325,2514
178,178,./20240321_140300_322/Plate002_Well1_Object6.tif_projection.tif,4842374,412,428
179,179,./20240321_140300_322/Plate005_Well4_Object0.tif_projection.tif,5676385,602,623
180,180,./20240321_140300_322/Plate002_Well1_Object2.tif_projection.tif,3222942,211,225
181,181,./20240321_140300_322/Plate002_Well4_Object9.tif_projection.tif,3634472,247,261
182,182,./20240321_140300_322/Plate000_Well3_Object7.tif_projection.tif,4161388,353,359
183,183,./20240321_140300_322/Plate004_Well2_Object5.tif_projection.tif,5471608,1183,1289
184,184,./20240321_140300_322/Plate008_Well2_Object5.tif_projection.tif,3109863,130,136
185,185,./20240321_140300_322/Plate006_Well3_Object7.tif_projection.tif,5150335,719,747
186,186,./20240321_140300_322/Plate003_Well4_Object0.tif_projection.tif,5995001,915,1030
187,187,./20240321_140300_322/Plate005_Well1_Object9.tif_projection.tif,5704504,689,726
188,188,./20240321_140300_322/Plate002_Well4_Object7.tif_projection.tif,3415355,245,262
189,189,./20240321_140300_322/Plate005_Well4_Object5.tif_projection.tif,4222071,446,454
190,190,./20240321_140300_322/Plate003_Well3_Object6.tif_projection.tif,4548638,1066,1159
191,191,./20240321_140300_322/Plate002_Well2_Object6.tif_projection.tif,3372123,221,227
192,192,./20240321_140300_322/Plate005_Well1_Object7.tif_projection.tif,3684111,205,212
193,193,./20240321_140300_322/Plate005_Well2_Object0.tif_projection.tif,5535342,340,354
194,194,./20240321_140300_322/Plate001_Well3_Object5.tif_projection.tif,5320613,895,942
195,195,./20240321_140300_322/Plate005_Well1_Object6.tif_projection.tif,5071732,345,362
196,196,./20240321_140300_322/Plate007_Well3_Object0.tif_projection.tif,4411400,268,279
197,197,./20240321_140300_322/Plate004_Well3_Object6.tif_projection.tif,5807142,1356,1430
198,198,./20240321_140300_322/Plate003_Well2_Object0.tif_projection.tif,5219300,354,377
199,199,./20240321_140300_322/Plate002_Well3_Object5.tif_projection.tif,4950810,302,318
200,200,./20240321_140300_322/Plate005_Well3_Object3.tif_projection.tif,4426510,265,278
201,201,./20240321_140300_322/Plate005_Well3_Object4.tif_projection.tif,4814769,298,321
202,202,./20240321_140300_322/Plate000_Well4_Object3.tif_projection.tif,4794670,1809,1930
203,203,./20240321_140300_322/Plate003_Well1_Object5.tif_projection.tif,7044458,120,130
204,204,./20240321_140300_322/Plate005_Well1_Object5.tif_projection.tif,4549917,255,265
205,205,./20240321_140300_322/Plate002_Well3_Object4.tif_projection.tif,3541399,278,290
206,206,./20240321_140300_322/Plate000_Well4_Object2.tif_projection.tif,5305356,1578,1676
207,207,./20240321_140300_322/Plate000_Well2_Object1.tif_projection.tif,6354888,118,127
208,208,./20240321_140300_322/Plate006_Well4_Object2.tif_projection.tif,4143491,353,378
209,209,./20240321_140300_322/Plate005_Well2_Object5.tif_projection.tif,5444323,255,271
210,210,./20240321_140300_322/Plate007_Well1_Object5.tif_projection.tif,3933962,215,234
211,211,./20240321_140300_322/Plate006_Well3_Object6.tif_projection.tif,4348996,604,634
212,212,./20240321_140300_322/Plate005_Well4_Object1.tif_projection.tif,4455177,382,394
213,213,./20240321_140300_322/Plate000_Well1_Object10.tif_projection.tif,3842789,573,584
214,214,./20240321_140300_322/Plate008_Well2_Object1.tif_projection.tif,3340195,246,261
215,215,./20240321_140300_322/Plate001_Well4_Object2.tif_projection.tif,6130173,1165,1205
216,216,./20240321_140300_322/Plate000_Well1_Object2.tif_projection.tif,4095986,334,342
217,217,./20240321_140300_322/Plate006_Well1_Object2.tif_projection.tif,5509774,1576,1627
218,218,./20240321_140300_322/Plate004_Well1_Object2.tif_projection.tif,3792211,807,840
219,219,./20240321_140300_322/Plate004_Well2_Object7.tif_projection.tif,4360455,1059,1153
220,220,./20240321_140300_322/Plate007_Well3_Object7.tif_projection.tif,3935261,271,285
221,221,./20240321_140300_322/Plate006_Well3_Object1.tif_projection.tif,3888547,599,629
222,222,./20240321_140300_322/Plate006_Well1_Object6.tif_projection.tif,4960203,1678,1738
223,223,./20240321_140300_322/Plate007_Well3_Object2.tif_projection.tif,2698090,101,107
224,224,./20240321_140300_322/Plate001_Well2_Object6.tif_projection.tif,5444860,1228,1320
225,225,./20240321_140300_322/Plate007_Well3_Object6.tif_projection.tif,3680584,274,285
226,226,./20240321_140300_322/Plate007_Well1_Object4.tif_projection.tif,4929280,453,482
227,227,./20240321_140300_322/Plate000_Well1_Object6.tif_projection.tif,3633885,488,508
228,228,./20240321_140300_322/Plate004_Well4_Object0.tif_projection.tif,702817,0,0
229,229,./20240321_140300_322/Plate000_Well3_Object0.tif_projection.tif,5315709,655,679
230,230,./20240321_140300_322/Plate000_Well1_Object5.tif_projection.tif,3616762,274,280
231,231,./20240321_140300_322/Plate007_Well1_Object3.tif_projection.tif,3644269,225,239
232,232,./20240321_140300_322/Plate001_Well1_Object3.tif_projection.tif,3284954,1139,1216
233,233,./20240321_140300_322/Plate003_Well1_Object7.tif_projection.tif,4186975,51,58
234,234,./20240321_140300_322/Plate001_Well4_Object6.tif_projection.tif,3876080,444,455
235,235,./20240321_140300_322/Plate005_Well1_Object1.tif_projection.tif,4999109,472,496
236,236,./20240321_140300_322/Plate008_Well1_Object5.tif_projection.tif,3186589,112,116
237,237,./20240321_140300_322/Plate002_Well3_Object6.tif_projection.tif,3843899,255,264
238,238,./20240321_140300_322/Plate002_Well3_Object7.tif_projection.tif,3400371,127,134
239,239,./20240321_140300_322/Plate002_Well3_Object3.tif_projection.tif,4589891,229,241
240,240,./20240321_140300_322/Plate008_Well1_Object8.tif_projection.tif,3394446,166,170
241,241,./20240321_140300_322/Plate005_Well2_Object1.tif_projection.tif,6435240,366,395
242,242,./20240321_140300_322/Plate002_Well3_Object1.tif_projection.tif,4401278,236,246
243,243,./20240321_140300_322/Plate006_Well2_Object4.tif_projection.tif,3597505,725,751
244,244,./20240321_140300_322/Plate004_Well4_Object6.tif_projection.tif,848022,186,204
245,245,./20240321_140300_322/Plate000_Well2_Object3.tif_projection.tif,4590861,89,93
246,246,./20240321_140300_322/Plate002_Well1_Object4.tif_projection.tif,3424358,311,318
247,247,./20240321_140300_322/Plate004_Well3_Object1.tif_projection.tif,6854720,1139,1174
248,248,./20240321_140300_322/Plate006_Well2_Object6.tif_projection.tif,4282439,895,922
249,249,./20240321_140300_322/Plate003_Well3_Object3.tif_projection.tif,4662932,1106,1206
250,250,./20240321_140300_322/Plate008_Well2_Object10.tif_projection.tif,3052639,139,146
251,251,./20240321_140300_322/Plate006_Well2_Object3.tif_projection.tif,3552575,710,744
252,252,./20240321_140300_322/Plate003_Well4_Object5.tif_projection.tif,3992336,833,924
253,253,./20240321_140300_322/Plate007_Well3_Object4.tif_projection.tif,3373648,163,176
254,254,./20240321_140300_322/Plate007_Well2_Object4.tif_projection.tif,3707709,286,297
255,255,./20240321_140300_322/Plate000_Well2_Object7.tif_projection.tif,4739388,97,105
256,256,./20240321_140300_322/Plate006_Well1_Object5.tif_projection.tif,4659125,1430,1494
257,257,./20240321_140300_322/Plate002_Well1_Object5.tif_projection.tif,4578692,393,413
258,258,./20240321_140300_322/Plate000_Well4_Object0.tif_projection.tif,6924812,1765,1913
259,259,./20240321_140300_322/Plate002_Well3_Object2.tif_projection.tif,5999660,234,238
260,260,./20240321_140300_322/Plate007_Well3_Object1.tif_projection.tif,4560528,214,222
261,261,./20240321_140300_322/Plate007_Well2_Object3.tif_projection.tif,4723119,288,295
262,262,./20240321_140300_322/Plate002_Well4_Object6.tif_projection.tif,3636262,210,217
263,263,./20240321_140300_322/Plate000_Well2_Object2.tif_projection.tif,5190885,172,182
264,264,./20240321_140300_322/Plate003_Well2_Object7.tif_projection.tif,6213626,945,1033
265,265,./20240321_140300_322/Plate000_Well4_Object5.tif_projection.tif,5281152,1990,2130
266,266,./20240321_140300_322/Plate000_Well1_Object9.tif_projection.tif,3777370,475,486
267,267,./20240321_140300_322/Plate000_Well1_Object1.tif_projection.tif,4688313,396,408
268,268,./20240321_140300_322/Plate001_Well2_Object0.tif_projection.tif,5073607,914,967
269,269,./20240321_140300_322/Plate001_Well2_Object2.tif_projection.tif,5577739,1103,1171
270,270,./20240321_140300_322/Plate004_Well2_Object0.tif_projection.tif,9249655,1141,1339
271,271,./20240321_140300_322/Plate004_Well2_Object1.tif_projection.tif,4537886,917,1016
272,272,./20240321_140300_322/Plate008_Well1_Object7.tif_projection.tif,3427980,149,157
273,273,./20240321_140300_322/Plate008_Well1_Object2.tif_projection.tif,3309181,129,138
274,274,./20240321_140300_322/Plate008_Well2_Object9.tif_projection.tif,3001658,145,154
275,275,./20240321_140300_322/Plate004_Well1_Object4.tif_projection.tif,4078525,778,861
276,276,./20240321_140300_322/Plate003_Well4_Object7.tif_projection.tif,4841296,995,1097
277,277,./20240321_140300_322/Plate004_Well3_Object3.tif_projection.tif,3853589,607,626
278,278,./20240321_140300_322/Plate007_Well2_Object2.tif_projection.tif,4188892,237,244
279,279,./20240321_140300_322/Plate001_Well1_Object6.tif_projection.tif,4098030,1024,1110
280,280,./20240321_140300_322/Plate002_Well4_Object2.tif_projection.tif,6212744,332,347
281,281,./20240321_140300_322/Plate008_Well2_Object0.tif_projection.tif,4050626,207,217
282,282,./20240321_140300_322/Plate004_Well4_Object3.tif_projection.tif,4121680,439,460
283,283,./20240321_140300_322/Plate004_Well4_Object5.tif_projection.tif,3642093,544,570
284,284,./20240321_140300_322/Plate000_Well1_Object8.tif_projection.tif,5191437,472,485
285,285,./20240321_140300_322/Plate008_Well2_Object2.tif_projection.tif,4361121,282,296
286,286,./20240321_140300_322/Plate003_Well3_Object2.tif_projection.tif,4580296,986,1092
287,287,./20240321_140300_322/Plate003_Well1_Object0.tif_projection.tif,6102097,107,119
288,288,./20240321_140300_322/Plate005_Well3_Object0.tif_projection.tif,8073671,463,500
289,289,./20240321_140300_322/Plate001_Well3_Object4.tif_projection.tif,3952374,772,822
290,290,./20240321_140300_322/Plate003_Well4_Object2.tif_projection.tif,7198952,1343,1462
291,291,./20240321_140300_322/Plate005_Well4_Object2.tif_projection.tif,3609958,406,424
292,292,./20240321_140300_322/Plate005_Well4_Object8.tif_projection.tif,4231480,353,362
293,293,./20240321_140300_322/Plate006_Well3_Object5.tif_projection.tif,4367830,619,656
294,294,./20240321_140300_322/Plate006_Well2_Object1.tif_projection.tif,4886128,975,1032
295,295,./20240321_140300_322/Plate005_Well3_Object9.tif_projection.tif,5039206,365,385
296,296,./20240321_140300_322/Plate006_Well2_Object8.tif_projection.tif,3756700,838,876
297,297,./20240321_140300_322/Plate006_Well2_Object7.tif_projection.tif,4767492,1005,1036
0,,./20240402_081806_268/Plate000_Well1_Object0.tif_projection.tif,3657504,173,183
1,,./20240402_081806_268/Plate000_Well1_Object1.tif_projection.tif,4496747,303,316
2,,./20240402_081806_268/Plate000_Well1_Object2.tif_projection.tif,3873438,149,154
3,,./20240402_081806_268/Plate000_Well1_Object3.tif_projection.tif,2844663,143,150
4,,./20240402_081806_268/Plate000_Well1_Object4.tif_projection.tif,3389491,149,157
5,,./20240402_081806_268/Plate000_Well1_Object5.tif_projection.tif,3623182,148,154
6,,./20240402_081806_268/Plate000_Well1_Object6.tif_projection.tif,4459196,257,266
7,,./20240402_081806_268/Plate000_Well1_Object7.tif_projection.tif,4216357,149,155
